安博TV,#genre# 
霹靂台灣,http://z1.ubtvfans.com/live/rx1/1339/995f90f3239b7d9c0fd009b5394fb4b4/index.m3u8
八大第一台,http://z1.ubtvfans.com/live/rx1/318/028eaf9adc6a369fb869f888724b20e6/index.m3u8
八大綜合台,http://z1.ubtvfans.com/live/rx1/2286/250e94fca5413b3e87d7025db904ec76/index.m3u8
八大戲劇台,http://z1.ubtvfans.com/live/rx1/81/d9ecc91e9920d8251717a89d80d75d61/index.m3u8
八大精彩,http://z1.ubtvfans.com/live/rx1/1024/69d9ca195ead9c7f2317100879dfdca1/index.m3u8
三立台灣台,http://z1.ubtvfans.com/live/rx1/21/cea5837ef146a561fc48b4544d0f49f6/index.m3u8
三立台灣台2,http://z1.ubtvfans.com/live/rx1/2436/9ddd439ccf845f803cca35d0071b4870/index.m3u8
三立都會台,http://z1.ubtvfans.com/live/rx1/1001/1f7f0b9289481238b0ec0b493259e0d6/index.m3u8
三立都會台2,http://z1.ubtvfans.com/live/rx1/38/bc60c1ed31ea657cde8bcc90401145c1/index.m3u8
衛視中文,http://z1.ubtvfans.com/live/rx1/342/2576e3e16eef03512ec13067521d6350/index.m3u8
衛視中文2,http://z3.ubtvfans.com/live/rx3/2365/7d0d1eaced10047bdd6833c0aa2431df/index.m3u8
中天綜合,http://z3.ubtvfans.com/live/rx3/54/102a6e3b8b21a43e2fa8c8b903263970/index.m3u8
中天娛樂,http://z1.ubtvfans.com/live/rx1/324/1fb6ce1c1c16e62a26b699a57eef764e/index.m3u8
緯來戲劇,http://z1.ubtvfans.com/live/rx1/2727/c4bc5ba67e76b648af0e07ade37ff94c/index.m3u8
緯來育樂,http://z1.ubtvfans.com/live/rx1/338/92436d9172cf640668930826f73f44ad/index.m3u8
緯來日本,http://z3.ubtvfans.com/live/rx3/46/8073ff3352477d077e2e7404d6e7137c/index.m3u8
年代Much,http://z1.ubtvfans.com/live/rx1/1359/64c223d12aeea4474315acdf96aa369b/index.m3u8
東森戲劇台,http://z1.ubtvfans.com/live/rx1/321/3b716898a1b0170f4302fc7ab22d5c25/index.m3u8
衛視電影台,http://z1.ubtvfans.com/live/rx1/93/d5171fa74bc3c1f7cc2401ae0f28ae8e/index.m3u8
東森電影台,http://z1.ubtvfans.com/live/rx1/350/306d08f644347253dae43ff398d5faa4/index.m3u8
東森電影台2,http://z1.ubtvfans.com/live/rx1/2720/71ec817d1191d554197241807fb10900/index.m3u8
